# CIA World Factbook 2015-2016 data
gdp infant gini health region
# gdp:   GDP per capita, $1000s
# infant: infant-mortality rate per 1000
# gini:   Gini index of income inequality, 0-100
# health: per capita health expenditures, % of GDP
# region: Africa, America, Asia, Europe, Oceania
Lesotho 2.9 49.03 63.2 11.6 Africa
Lithuania 26.7 3.84 35.5 6.7 Europe
Luxembourg 92.4 3.46 30.4 6.9 Europe
Macedonia 13.2 7.7 39.2 7.1 Europe
Madagascar 1.4 43.67 47.5 4.1 Africa
Malawi 0.8 46.26 39 9.2 Africa
Malaysia 24.5 13.27 46.2 4 Asia
Maldives 12.4 23.7 37.4 8.5 Oceania
Mali 1.6 102.23 40.1 5.8 Africa
Malta 31.7 3.56 27.9 9.1 Europe
Mauritania 3.4 54.68 39 6.4 Africa
Mauritius 17.9 10.3 39 4.8 Africa
Mexico 17.9 12.23 48.3 6.1 America
Moldova 4.8 12.59 33 11.7 Europe
Mongolia 10.2 22.44 36.5 6.3 Asia
Morocco 7.7 23.6 40.9 6.4 Africa
Mozambique 1.1 70.21 45.6 6.4 Africa
Namibia 10.8 45.62 59.7 8.3 Africa
Nepal 2.4 39.14 32.8 5.5 Asia
Netherlands 47.4 3.62 25.1 12.4 Europe
New.Zealand 35 4.52 36.2 10.3 Oceania
Nicaragua 4.8 19.65 40.5 8.2 America
Niger 1 84.59 34 7.2 Africa
Nigeria 6.1 72.7 43.7 6.1 Africa
Norway 65.9 2.48 25 9 Europe
Pakistan 4.7 55.67 29.6 2.7 Asia
Panama 20.3 10.41 51.9 7.6 America
Papua.New.Guinea 2.4 38.55 50.9 5.2 Oceania
Paraguay 8.4 20.05 53.2 10.3 America
Peru 12 19.59 45.3 5.1 America
Philippines 7 22.34 44.8 4.6 Oceania
Poland 24.4 4.5 34.1 6.7 Europe
Portugal 26.3 4.43 34.2 9.4 Europe
Romania 19.4 9.89 27.4 5.1 Europe
Russia 24.8 6.97 42 6.3 Europe
Rwanda 1.7 58.19 46.8 10.7 Africa
Senegal 2.3 51.54 41.3 5 Africa
Serbia 12.5 6.05 38 10.5 Europe
Sierra.Leone 2.1 71.68 62.9 15.1 Africa
Singapore 81.3 2.48 46.3 4.7 Asia
Slovakia 27.7 5.27 26 7.8 Europe
Slovenia 29.4 4 23.7 8.8 Europe
South.Africa 12.7 32.99 63.1 8.8 Africa
South.Sudan 2 66.39 46 2.6 Africa
Spain 33 3.3 34 9.6 Europe
Sri.Lanka 10.4 8.8 49 3.3 Asia
Swaziland 7.8 52.57 50.4 8.5 Africa
Sweden 44.7 2.6 23 9.6 Europe
Switzerland 55.2 3.67 28.7 11.3 Europe
Tajikistan 2.7 33.93 32.6 5.8 Asia
Tanzania 1.9 42.43 37.6 7 Africa
Thailand 14.4 9.63 39.4 3.9 Asia
Timor.Leste 6.8 37.54 31.9 4.3 Asia
Tunisia 11.4 22.35 40 7 Africa
Turkey 19.6 18.87 40.2 6.3 Europe
Turkmenistan 14.2 36.82 40.8 2 Asia
Uganda 1.8 59.21 44.3 8 Africa
Ukraine 8.2 8.12 28.2 7.6 Europe
United.Kingdom 37.7 4.38 32.3 9.4 Europe
United.States 54.8 5.87 45 17.9 America
Uruguay 20.5 8.74 45.3 8.9 America
Uzbekistan 5.6 19.2 36.8 5.9 Asia
Venezuela 17.9 18.91 39 4.6 America
Vietnam 5.6 18.39 37.6 6.6 Asia
Yemen 3.9 48.93 37.7 5.5 Asia
Zambia 4.1 64.72 57.5 6.5 Africa
